X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19
-5.75179386138916,-4.6700921058654785,-3.863771915435791,-4.770249366760254,-5.84996223449707,-5.801370143890381,-4.956648349761963,-4.196103572845459,-5.271206378936768,-4.052131175994873,-5.004383563995361,-5.270296096801758,-1.6482373476028442,-5.514150142669678,-6.028145790100098,-4.834970474243164,5.124183177947998,-5.753809928894043,-5.046738147735596
-4.9754509925842285,3.0470592975616455,-3.2302699089050293,-3.8181252479553223,-4.977390289306641,-4.2094550132751465,-3.7926528453826904,-4.265320301055908,-4.714938640594482,-4.551650047302246,-3.2579703330993652,-3.918388843536377,-0.048318225890398026,-3.206491470336914,-4.858819484710693,-1.6824111938476563,-3.4355993270874023,-4.33865213394165,-4.489616870880127
-2.6071407794952393,-4.347304821014404,-1.553877830505371,0.04937877133488655,-2.7202260494232178,-3.2969377040863037,-3.037386894226074,-2.0485692024230957,-5.846976280212402,-5.900998115539551,-3.75333309173584,-4.935373306274414,-2.666863441467285,-3.3487374782562256,-1.1008903980255127,-5.500014781951904,-5.298748970031738,-4.956638813018799,-4.393916606903076
-2.5666065216064453,-3.6865451335906982,-2.565643072128296,-1.4729516506195068,-2.925693988800049,-3.192521810531616,-3.1584384441375732,-3.582594633102417,-4.365573883056641,-4.126479625701904,1.1118448972702026,-3.389162540435791,-3.0018787384033203,-3.3529062271118164,-2.931195020675659,-4.297755241394043,-1.2954835891723633,-3.7059576511383057,0.7252344489097595
-4.2985076904296875,-4.125553607940674,-3.728424310684204,-2.1402862071990967,-4.016878604888916,-4.450714111328125,-4.3187689781188965,2.8692219257354736,-2.853104591369629,-5.081541061401367,-3.3086600303649902,-4.616006851196289,0.8128092288970947,-4.469126224517822,-4.351526260375977,-1.4819092750549316,-2.6711983680725098,-3.8958933353424072,-3.812838077545166
-0.38955560326576233,-5.497268199920654,-0.8893510103225708,-2.294259786605835,-4.41804313659668,-3.975092649459839,0.5168776512145996,-5.234369277954102,-5.975280284881592,-5.351377487182617,-3.3912858963012695,-4.872958183288574,-3.353302478790283,-2.9980087280273438,-4.044351100921631,-5.789982318878174,-4.588253021240234,-4.997868537902832,-4.604865550994873
-3.166285276412964,-3.9132368564605713,-3.7135510444641113,-0.9422337412834167,-3.7105915546417236,-5.022115707397461,-4.596034049987793,-4.480415344238281,1.9102030992507935,-4.454898357391357,-4.532419204711914,-3.497836112976074,-2.542078733444214,-3.4371132850646973,-4.604849815368652,-4.186069488525391,-3.299022912979126,-3.485283374786377,-5.023953914642334
-3.69456148147583,-3.987865686416626,-3.834012269973755,-1.7310473918914795,-3.759721279144287,-5.338044166564941,-4.264610290527344,-4.98656702041626,1.3250770568847656,-4.459698677062988,-4.821732044219971,-3.0836293697357178,-3.43449330329895,-3.6591529846191406,-4.92918062210083,-4.1457719802856445,-2.8374509811401367,-4.200971603393555,-5.434347629547119
-2.8147902488708496,-4.797233581542969,-2.4123857021331787,-1.8804895877838135,-4.735863208770752,-5.611500263214111,3.4029452800750732,-5.522478103637695,-5.986266136169434,-4.943390369415283,-5.487302303314209,-4.595105171203613,-4.096927165985107,-4.287607192993164,-4.35504674911499,-4.956009387969971,-5.106356143951416,-4.973308086395264,-5.920891284942627
-2.651998996734619,-5.79833459854126,-3.9034066200256348,-0.9427713751792908,-5.304416656494141,-7.012421607971191,-3.262526750564575,-6.184869766235352,-6.066576957702637,-5.694584846496582,-5.209388256072998,-4.924078941345215,-2.388471841812134,-2.2143802642822266,-4.918638706207275,-5.229074478149414,-5.424150466918945,-4.858598709106445,-6.653223514556885
-3.0691792964935303,-5.217668533325195,-2.7981138229370117,-1.3470876216888428,-4.299379825592041,-5.894871711730957,2.098620891571045,-5.561928749084473,-5.850641250610352,-5.013410568237305,-5.457764148712158,-4.616070747375488,-3.75490403175354,-4.688357830047607,-3.837836742401123,-5.062705039978027,-5.069909572601318,-4.823575019836426,-5.856115818023682
-5.604598522186279,0.057327669113874435,-4.464721202850342,-3.272608995437622,-5.721992492675781,-5.613720893859863,-4.937844753265381,-4.939566135406494,-4.938182353973389,-4.902400016784668,-3.695185661315918,-4.356873512268066,-0.09503131359815598,-3.6311683654785156,-5.392146587371826,-0.48340776562690735,-3.2763466835021973,-4.069085597991943,-4.854444980621338
-4.24488639831543,-3.277137279510498,-3.8800134658813477,-2.9130196571350098,-3.966261863708496,-4.079169273376465,-4.303944110870361,3.4016404151916504,-3.464186191558838,-4.532317161560059,-2.9164175987243652,-4.248098373413086,1.794880747795105,-4.5952324867248535,-4.571971893310547,-0.4674933850765228,-2.91042423248291,-3.741652250289917,-3.6134281158447266
-4.075779438018799,-2.8996479511260986,-3.592911720275879,-2.180657148361206,-4.135526180267334,-3.632622003555298,-3.681145429611206,2.0348703861236572,-4.804994583129883,-5.25339412689209,-2.4306650161743164,-3.795379877090454,-1.2872191667556763,-4.256815433502197,-4.16176700592041,-0.5978279709815979,-4.327106952667236,-3.987501382827759,-3.743833065032959
-3.473398447036743,-4.813299179077148,-3.7075319290161133,-2.4710800647735596,-4.8773193359375,-5.8452839851379395,-4.109188556671143,-0.3353079855442047,-5.81189489364624,-5.745654582977295,-3.696962833404541,-5.1726484298706055,4.736477851867676,-3.915175437927246,-5.293586254119873,-3.797393321990967,-6.053408145904541,-4.965190887451172,-4.137112140655518
-3.3644402027130127,-1.2675749063491821,-3.511634349822998,-2.5788540840148926,-3.8782830238342285,-4.206470489501953,-2.701129198074341,-4.8362345695495605,-3.987452268600464,-4.397663593292236,-3.5771420001983643,-4.264328956604004,-1.1256054639816284,-3.4733715057373047,-4.869171619415283,-2.211416721343994,-5.180819511413574,0.8364406824111938,-4.541830539703369
-4.677372932434082,1.951696753501892,-4.182642459869385,-3.686721086502075,-5.1464762687683105,-4.837014198303223,-3.4800307750701904,-4.578096866607666,-4.220692157745361,-4.832263946533203,-3.017892837524414,-4.5366716384887695,-0.8383179306983948,-2.8384270668029785,-5.0950493812561035,0.593586266040802,-5.023228645324707,-3.5245327949523926,-4.638500690460205
-2.5489375591278076,-4.454804420471191,-4.845325946807861,-2.671116352081299,-5.49873161315918,-5.922662734985352,-2.7488505840301514,-6.359001159667969,-3.5438785552978516,-0.5536899566650391,-4.341646671295166,-3.637453079223633,-1.9138764142990112,-1.963410496711731,-6.036055088043213,-3.5985465049743652,-4.133522987365723,-4.62143611907959,-5.7235541343688965
-4.7665557861328125,-3.7188570499420166,-3.633554220199585,-3.130689859390259,-5.655892848968506,-5.430194854736328,-4.794284343719482,-0.21252265572547913,-5.587592601776123,-5.862681865692139,-2.444382429122925,-5.418692588806152,3.6656978130340576,-4.2486467361450195,-5.556865692138672,-0.21613287925720215,-4.635454177856445,-3.8264153003692627,-3.740487575531006
-2.440707206726074,-1.917598843574524,-2.4735209941864014,-2.18668270111084,-3.5272881984710693,2.942681312561035,-2.9515273571014404,-3.6275954246520996,-4.366083145141602,-3.9299488067626953,-3.327615737915039,-4.091253757476807,-2.5196902751922607,-2.979764938354492,-3.6497912406921387,-4.103199005126953,-3.4942989349365234,-3.580284595489502,-3.7242026329040527
-3.583324909210205,-4.105067253112793,-4.192525863647461,-1.1913154125213623,-3.9661130905151367,-5.169946193695068,-4.607270240783691,-4.472087860107422,1.274097204208374,-4.305896759033203,-4.751655578613281,-4.189294338226318,-2.935883045196533,-3.625916004180908,-5.036931037902832,-4.307032585144043,-2.7636284828186035,-3.804429292678833,-5.270659446716309
-4.744219779968262,-4.98551082611084,-4.192884922027588,-3.8227717876434326,-6.2184553146362305,-6.877187728881836,-3.4170100688934326,-5.564558029174805,-6.842742919921875,-6.237128257751465,-5.0535888671875,-5.696030616760254,3.9889559745788574,-4.015521049499512,-6.470450401306152,-4.454316139221191,-6.1567182540893555,-6.349060535430908,-6.049138069152832
-4.395122051239014,-2.1860463619232178,-5.465170383453369,-0.8613437414169312,-4.789666652679443,-6.425464630126953,-2.9590742588043213,-5.345731258392334,-4.319233417510986,-4.038633823394775,-3.192108631134033,-5.610529899597168,-2.049034595489502,-2.5738024711608887,-4.8370842933654785,-0.013622037135064602,-4.472993850708008,-2.546603202819824,-4.412298679351807
-4.544622421264648,-4.927093029022217,-3.9453468322753906,-2.7989799976348877,-5.10996675491333,-5.27097225189209,-3.1826210021972656,-5.091020584106445,-5.152788162231445,1.757454752922058,-5.275362491607666,-4.274809837341309,-2.9056951999664307,-3.972599983215332,-5.077141761779785,-4.789249420166016,-1.902799367904663,-5.518312931060791,-5.653310298919678
-3.914738893508911,-2.187422275543213,-4.280411720275879,-3.1035003662109375,-4.066086769104004,-3.9233100414276123,-4.641195774078369,0.8602702617645264,-4.419808387756348,-4.748422622680664,-0.13677345216274261,-4.220768928527832,0.1734026074409485,-4.1224541664123535,-4.420298099517822,0.18570484220981598,-4.004585266113281,-3.7929468154907227,-1.7760322093963623
-5.021099090576172,2.865020990371704,-3.5286448001861572,-3.3459150791168213,-4.825390815734863,-4.295047760009766,-3.180943012237549,-4.102870941162109,-4.648029327392578,-4.9072585105896,-3.1042542457580566,-4.895333290100098,-0.19389751553535461,-3.165487766265869,-4.543489456176758,-0.477858304977417,-4.650658130645752,-3.871361255645752,-4.337443828582764
-4.667946815490723,-5.044543743133545,-4.15591287612915,-2.574847459793091,-5.080169200897217,-5.646293640136719,-4.686601161956787,1.1117218732833862,-5.488419532775879,-5.744194984436035,-4.318578720092773,-4.955625057220459,3.3705894947052,-4.795279502868652,-5.3936591148376465,-2.7540345191955566,-4.7397260665893555,-4.869717597961426,-4.740578651428223
-2.232849359512329,-5.337662696838379,-4.228943347930908,-1.9668794870376587,-5.249039173126221,-5.372308731079102,-4.644434452056885,-5.019384860992432,-1.6527318954467773,-4.852535247802734,-4.483374118804932,-4.958305835723877,-2.50689959526062,-2.3978636264801025,-5.871549129486084,-4.942244529724121,-3.3314433097839355,-4.56451940536499,-5.9100775718688965
-2.418926477432251,-3.125035047531128,-3.819918155670166,-1.4417340755462646,-3.491791009902954,-4.579690933227539,-1.4040428400039673,-5.094583988189697,-3.6303346157073975,-4.074172019958496,-3.994943380355835,-4.928858280181885,-2.4994781017303467,-3.472399950027466,-4.341447830200195,-3.9412081241607666,-5.201895236968994,0.4972705841064453,-4.774673938751221
-4.334662437438965,-3.9542300701141357,-2.9957828521728516,-3.9513890743255615,-5.373436450958252,-5.688649654388428,-2.898285388946533,-4.549289226531982,-5.648067474365234,-4.910030364990234,-2.6892077922821045,-4.093737602233887,0.9766548871994019,-3.8332407474517822,-5.040866851806641,1.4123470783233643,-4.78996467590332,-4.355985641479492,-4.000553131103516
